Quarter,Time,Down,ToGo,Location,Detail,TAM,NOR,EPB,EPA,Poss,EP_Delta,Penalty,EPD_Pen,Realtime
1,15:00,,,NOR 35,Wil Lutz kicks off 65 yards touchback.,0,0,0.000,0.610,,0.61,0,0,18:40
1,15:00,1,10,TAM 25,Leonard Fournette left tackle for 2 yards (tackle by David Onyemata and Cameron Jordan),0,0,0.610,0.330,TAM,-0.28,0,0,18:40
1,14:25,2,8,TAM 27,Tom Brady pass complete short left to Cameron Brate for 5 yards (tackle by Demario Davis),0,0,0.330,0.300,TAM,-0.03,0,0,18:40
1,13:42,3,3,TAM 32,Tom Brady pass incomplete deep left intended for Rob Gronkowski,0,0,0.300,-1.240,TAM,-1.54,0,0,18:40
1,13:36,4,3,TAM 32,Bradley Pinion punts 43 yards returned by Deonte Harris for 54 yards (tackle by Andrew Adams),0,0,-1.240,-4.170,TAM,-2.93,0,0,18:40
1,13:18,1,10,TAM 21,Alvin Kamara left guard for no gain (tackle by Devin White),0,0,4.170,3.630,NOR,-0.54,0,0,18:40
1,12:45,2,10,TAM 21,Drew Brees pass complete short right to Emmanuel Sanders for 7 yards (tackle by Jordan Whitehead). Penalty on Jordan Whitehead: Unnecessary Roughness 7 yards,0,0,3.630,5.600,NOR,1.97,1,1.97,18:49
1,12:19,1,7,TAM 7,Drew Brees pass incomplete short left intended for Marquez Callaway,0,0,5.600,4.760,NOR,-0.84,1,1.97,18:49
1,12:14,2,7,TAM 7,Alvin Kamara right guard for 2 yards (tackle by William Gholston and Jamel Dean),0,0,4.760,4.260,NOR,-0.5,1,1.97,18:49
1,11:39,3,5,TAM 5,Drew Brees pass incomplete short right intended for Michael Thomas,0,0,4.260,3.010,NOR,-1.25,1,1.97,18:49
1,11:34,4,5,TAM 5,Wil Lutz 23 yard field goal good,0,3,3.010,3.000,NOR,-0.01,1,1.97,18:49
1,11:30,,,NOR 35,Wil Lutz kicks off 65 yards touchback.,0,3,0.000,0.610,,0.61,1,1.97,18:49
1,11:30,1,10,TAM 25,Leonard Fournette right guard for 4 yards (tackle by Marcus Davenport),0,3,0.610,0.600,TAM,-0.01,1,1.97,18:49
1,10:55,2,6,TAM 29,Tom Brady pass incomplete short middle intended for Cameron Brate (defended by Malcolm Jenkins),0,3,0.600,-0.100,TAM,-0.7,1,1.97,18:49
1,10:50,3,6,TAM 29,Tom Brady sacked by Demario Davis for -10 yards,0,3,-0.100,-2.140,TAM,-2.04,1,1.97,18:49
